scenario_id,U_max,U_mean,U_min,U_std,U_at_0,U_trend,U_persistence_high,U_max_gradient,U_integral,U_x_mean,U_y_mean,U_x_max,U_y_max,U_x_std,U_y_std,DU_dominant,DU_spread,Wind_veering,U_vector_magnitude,Onshore_wind_mean,Onshore_wind_max,S_max,S_mean,Hs_mean,Hs_max,Tp_mean,Tp_max,Tp_p90,Tp_std,sinDp_mean,cosDp_mean,Dp_concentration,Tp_max_x_sinDp_mean,Tp_max_x_cosDp_mean,NMmax,NMmean,NMrange,NMslope,Tmax,T_integral,Tslopemax,T_skewness,Tstd
31,22.41,21.837027027027027,21.37,0.3213978326577628,21.57,-1.0399999999999991,100.0,0.1700000000000017,7860.799999999999,-7.533425293761619,-19.46147961910552,1.46905119996712,-12.110076784183288,5.890448649019271,2.5999951995467456,248.8388699644196,0.3011899170310903,60.41,20.86867714114977,19.46147961910552,22.170914594284795,0.67,0.6337837837837837,9.324594594594595,9.55,18.628108108108105,18.93,18.866,0.1747714776321298,-0.9931018210685316,-0.1148271313416802,0.99971820884777,-18.799417472827304,-2.1736775962980066,1.64,1.64,0.0,0.0,2.38,58.2,0.22,-0.5713236808598503,0.6946505393391966
32,8.85,8.554864864864864,8.31,0.1738533339872872,8.43,0.0600000000000005,0.0,0.1100000000000012,3077.1000000000004,2.32874885799586,-8.084127635687002,4.158500553170436,-7.540959333908567,1.5266850741615867,0.3301206574492212,286.0698043191809,0.1829687550047313,-29.49000000000001,8.412858662410498,8.084127635687,8.720859901578887,0.56,0.5427027027027027,6.633243243243244,7.19,12.764864864864869,13.24,13.17,0.3063703960508148,-0.8757161842853138,-0.4802819742691377,0.998774053641308,-11.594482279937557,-6.358933339323384,0.61,0.6099999999999999,0.0,0.0,1.87,46.21000000000001,0.19,-0.6353760944268343,0.5429018693438386
33,22.03,21.339729729729733,20.07,0.5377605540019343,21.52,-1.6400000000000006,100.0,0.1499999999999985,7686.8,17.140564498345455,-11.556058890496562,20.067478855509883,-5.228325488457967,2.635225172093301,4.624650391235208,326.0124030907403,0.2521067690697224,37.45999999999998,20.67223859195141,11.556058890496558,17.55774593041647,0.24,0.2362162162162162,4.475945945945947,4.95,25.806756756756755,26.67,26.63,0.6815643930794842,-0.8813698625315953,-0.4639336051423933,0.9960156748562652,-23.50613423371765,-12.373109249147632,0.43,0.4299999999999999,0.0,0.0,2.15,51.825,0.2,-0.5744245640950062,0.6433763205516685
34,22.53,21.936486486486487,21.29,0.4536829242580452,21.9,-0.8200000000000003,100.0,0.1100000000000029,7896.0,17.143122999057105,-12.89396344719369,20.27223033165217,-7.57141184855517,2.5224700231788173,3.861535058932404,323.051849560002,0.2115885722441066,33.44999999999999,21.450896474002377,12.893963447193686,18.612066607496587,0.35,0.3494594594594594,5.494864864864865,6.42,13.74135135135135,14.43,14.366,0.5740381480974472,-0.9918268258193018,-0.1015960545043568,0.9970166551796634,-14.312061096572524,-1.4660310664978693,1.57,1.57,0.0,0.0,1.83,45.655,0.19,-0.7355059884936316,0.5273336599317411
35,6.15,5.827837837837839,5.33,0.2630911375862101,6.14,0.1099999999999994,0.0,0.1499999999999994,2097.15,-3.7614889837983303,-4.416069287011508,-3.165865394634184,-3.588702533336434,0.3239934130712197,0.5267558791079043,229.5765364327141,0.09625581960788,8.850000000000023,5.800902285241713,4.416069287011509,5.016510414863785,0.8,0.7772972972972974,9.012972972972973,9.16,13.71972972972973,14.35,14.218,0.4025626456972104,-0.7692968320259683,-0.624690391749979,0.9909872356947556,-11.039409539572643,-8.964307121612197,1.96,1.959999999999999,0.0,0.0,2.11,52.760000000000005,0.19,-0.5882091073098565,0.596092707307256
36,18.83,18.09486486486486,16.61,0.5458968401785027,18.83,1.4299999999999995,100.0,0.25,6521.85,6.825564225795822,-16.68006478583519,9.036619443995663,-15.762037435720744,1.6000676545465642,0.5907902153800644,292.254618250976,0.0894823428749728,-4.069999999999993,18.02256608422127,16.680064785835185,17.52226230093056,0.23,0.0372972972972972,6.854054054054054,7.59,13.454594594594594,14.06,13.994,0.3615402081829125,-0.9399031719446446,-0.3382776573693498,0.9989242944822692,-13.215038597541705,-4.756183862613059,1.83,1.83,0.0,0.0,2.18,55.00000000000001,0.19,-0.5749036633402479,0.5968004537468141
37,11.72,11.009729729729733,10.3,0.3983580250769026,11.02,-1.42,0.0,0.1099999999999994,3963.5,-2.60514082190981,-10.663277077488493,-1.7879461795078546,-9.226630305772687,0.8129051862060084,0.4688136760001902,256.2710230025822,0.0772882917676071,-6.509999999999991,10.976895587244712,10.663277077488493,11.144505010658769,0.32,0.2740540540540541,5.156756756756757,5.32,9.652162162162162,10.05,10.004,0.3578247731754019,-0.9995266170090604,0.0208606429030219,0.9997442795694828,-10.045242500941058,0.2096494611753705,0.8,0.8000000000000002,0.0,0.0,2.08,50.03000000000001,0.2,-0.6428993123800675,0.6371191553511891
38,13.62,12.347027027027028,11.11,0.7187484048954892,12.54,2.51,0.0,0.1400000000000005,4444.750000000001,-10.8960373213826,-5.654475829342887,-9.96511363132054,-3.4736192530337875,0.3482022497878823,1.4655049148102244,207.42696146441412,0.1075231767788184,9.129999999999995,12.275859489811108,5.654475829342888,7.88399547120169,0.71,0.5218918918918919,3.6159459459459455,3.97,20.715945945945947,21.22,20.96,0.2549346440832135,-0.911413860830836,-0.4086613765479251,0.9988389992369217,-19.34020212683033,-8.67179441034697,0.62,0.6200000000000001,0.0,0.0,1.99,49.02,0.17,-0.5362219101094777,0.5665179483732817
39,18.08,17.67810810810811,16.96,0.3407054512755162,17.94,0.91,100.0,0.1000000000000014,6366.749999999999,-3.34961181421614,-17.066766964043868,1.5983008285318758,-16.70410281758684,3.176151543336107,0.2218421721287251,258.8959744820673,0.1805303604399263,-20.150000000000038,17.3923671163794,17.066766964043868,17.443604532460895,0.17,0.1567567567567567,1.3262162162162163,1.33,13.125945945945944,13.28,13.254,0.0859748379110708,-0.7991599413165568,-0.5827751211263171,0.9890821268271286,-10.612844020683871,-7.739253608557491,0.85,0.8500000000000002,0.0,0.0,2.62,65.235,0.2499999999999999,-0.6120779932476204,0.7468687007093968
40,16.92,16.446486486486485,15.96,0.3174153746869477,16.63,0.0,89.1891891891892,0.1300000000000025,5920.400000000001,-10.706663568198875,-12.456158158863326,-9.42432017534916,-11.356595562223504,0.7165197301559593,0.534554866550629,229.31936543261853,0.0508462186602194,4.990000000000009,16.42524035870448,12.456158158863332,13.232454627993365,0.21,0.2029729729729729,1.3013513513513513,1.33,16.97486486486487,17.73,17.69,0.5183060851993844,-0.9936923368230044,-0.081704266990638,0.9970456596892846,-17.61816513187187,-1.4486166537440126,0.58,0.5799999999999997,0.0,0.0,2.09,53.38,0.1899999999999999,-0.6097389291509081,0.5615110574517777
